"","geo_merge","cases_final","case_rate_final","adj_case_rate_final","deaths_final","death_rate_final","adj_death_rate_final","persons_tested_final","testing_rate_final","adj_testing_rate_final","population"
"1","City of Agoura Hills",35,168,165,1,5,5,946,4530,4090,20883
"2","City of Alhambra",231,266,249,8,9,6,5022,5791,5508,86724
"3","City of Arcadia",95,164,147,6,10,7,1948,3373,3327,57754
"4","City of Artesia",41,244,216,0,0,0,677,4031,3690,16795
"5","City of Azusa",212,424,436,5,10,13,1769,3535,3618,50040
"6","City of Baldwin Park",393,512,506,6,8,8,3214,4187,4132,76769
"7","City of Bell",400,1101,1169,23,63,89,1600,4404,4517,36332
"8","City of Bell Gardens",358,831,918,11,26,44,1705,3959,4334,43071
"9","City of Bellflower",446,574,573,22,28,32,4342,5586,5490,77735
"10","City of Beverly Hills",144,417,382,5,14,8,3036,8795,8167,34520
"11","City of Bradbury",4,374,416,0,0,0,13,1216,1133,1069
"12","City of Burbank",408,381,328,40,37,29,6307,5884,5464,107180
"13","City of Calabasas",87,358,320,10,41,34,1298,5337,5046,24323
"14","City of Carson",458,488,465,25,27,20,4657,4962,4741,93846
"15","City of Cerritos",135,270,281,1,2,1,2106,4206,4147,50067
"16","City of Claremont",58,159,168,1,3,2,1398,3832,3911,36484
"17","City of Commerce",85,650,650,1,8,7,543,4155,4151,13069
"18","City of Compton",725,726,743,15,15,21,5320,5325,5505,99904
"19","City of Covina",203,414,407,6,12,12,2282,4654,4540,49032
"20","City of Cudahy",286,1175,1241,5,21,36,1019,4185,4316,24347
"21","City of Culver City",162,406,342,21,53,35,3417,8571,8035,39865
"22","City of Diamond Bar",76,132,122,1,2,1,1900,3303,3105,57515
"23","City of Downey",829,726,714,27,24,22,5906,5169,5048,114263
"24","City of Duarte",135,613,518,17,77,47,1247,5664,5315,22016
"25","City of El Monte",663,565,563,26,22,23,5622,4794,4728,117269
"26","City of El Segundo",37,220,212,0,0,0,948,5648,5466,16786
"27","City of Gardena",304,496,452,26,42,28,3504,5715,5465,61310
"28","City of Glendale",1040,504,418,92,45,30,10491,5081,4610,206493
"29","City of Glendora",162,307,274,9,17,14,2091,3963,3802,52764
"30","City of Hawaiian Gardens",84,572,550,1,7,8,504,3434,3375,14676
"31","City of Hawthorne",436,491,491,16,18,22,5172,5825,5760,88787
"32","City of Hermosa Beach",36,183,171,2,10,13,1069,5435,5109,19670
"33","City of Hidden Hills",3,159,80,0,0,0,131,6931,6612,1890
"34","City of Huntington Park",598,1005,1019,11,18,22,2540,4270,4278,59484
"35","City of Industry",12,2746,2856,2,458,556,181,41419,36803,437
"36","City of Inglewood",667,587,580,56,49,53,7109,6259,6107,113582
"37","City of Irwindale",4,274,244,0,0,0,57,3907,3799,1459
"38","City of La Canada Flintridge",52,251,328,5,24,13,984,4755,5623,20693
"39","City of La Habra Heights",10,183,162,0,0,0,39,715,904,5455
"40","City of La Mirada",205,413,362,16,32,22,1624,3274,3199,49599
"41","City of La Puente",149,366,352,1,2,3,1513,3718,3669,40697
"42","City of La Verne",34,102,94,2,6,3,1139,3422,3295,33282
"43","City of Lakewood",214,266,263,6,7,6,3743,4658,4550,80362
"44","City of Lancaster",662,410,419,12,7,8,6372,3944,3994,161570
"45","City of Lawndale",135,402,395,5,15,22,1698,5051,4928,33614
"46","City of Lomita",53,256,238,6,29,19,891,4298,4085,20729
"47","City of Lynwood",719,998,1147,40,56,91,3613,5015,5246,72047
"48","City of Malibu",39,301,255,1,8,4,1602,12360,10445,12961
"49","City of Manhattan Beach",82,228,204,3,8,8,1792,4978,4767,35999
"50","City of Maywood",343,1223,1343,11,39,61,1241,4424,4610,28049
"51","City of Monrovia",170,438,425,20,52,51,1742,4490,4386,38800
"52","City of Montebello",454,705,672,16,25,20,2854,4433,4316,64375
"53","City of Monterey Park",179,287,281,8,13,7,2602,4179,4140,62262
"54","City of Norwalk",578,537,525,23,21,21,4878,4533,4460,107622
"55","City of Palmdale",801,504,509,17,11,12,7706,4848,4963,158968
"56","City of Palos Verdes Estates",43,318,248,1,7,4,471,3483,3622,13522
"57","City of Paramount",416,743,744,9,16,19,2685,4793,4842,56023
"58","City of Pico Rivera",595,926,883,30,47,42,2883,4485,4317,64284
"59","City of Pomona",618,396,396,14,9,12,6572,4215,4289,155931
"60","City of Rancho Palos Verdes",96,225,202,11,26,12,1957,4578,4744,42747
"61","City of Redondo Beach",147,214,209,7,10,11,3641,5300,5156,68697
"62","City of Rolling Hills",2,103,61,0,0,0,69,3557,3387,1940
"63","City of Rolling Hills Estates",14,173,278,0,0,0,344,4240,4609,8113
"64","City of Rosemead",138,249,244,5,9,6,1948,3519,3420,55350
"65","City of San Dimas",71,206,216,1,3,2,1463,4239,4151,34516
"66","City of San Fernando",206,837,867,8,32,39,1816,7379,7331,24612
"67","City of San Gabriel",153,374,307,16,39,25,1798,4390,4070,40954
"68","City of San Marino",23,173,159,1,8,4,520,3917,4072,13277
"69","City of Santa Clarita",822,373,384,18,8,9,11947,5420,5374,220424
"70","City of Santa Fe Springs",81,441,440,0,0,0,686,3736,3792,18364
"71","City of Santa Monica",300,325,266,20,22,15,7992,8645,7628,92446
"72","City of Sierra Madre",12,109,96,0,0,0,488,4441,4446,10989
"73","City of Signal Hill",37,314,325,0,0,0,507,4298,4280,11797
"74","City of South El Monte",105,503,512,2,10,9,898,4300,4273,20885
"75","City of South Gate",778,793,783,17,17,21,4012,4087,4072,98155
"76","City of South Pasadena",134,514,447,20,77,59,1593,6114,6026,26053
"77","City of Temple City",174,477,361,25,69,43,1839,5045,4721,36455
"78","City of Torrance",409,274,244,46,31,22,7060,4730,4520,149268
"79","City of Vernon",4,1914,1521,0,0,0,46,22010,25214,209
"80","City of Walnut",52,170,161,1,3,1,975,3193,3095,30532
