"","Neighborhood","FIPS","Adjusted.case_rate","Adjusted.death_rate","Adjusted.testing_rate","mean.Socioeconomic","mean.HouseholdComposition.and.Disability","mean.Minority.Status.and.Language","mean.Housing.Type.and.Transportation","Diabetes_Percent","Population","Latin","White","Black","Native.American","Asian","Other.population","Longitude","Latitude","Area","Risk"
"1","Adams-Normandie",6037221500,675,38,5380,0.919,0.571,0.855,0.859,10.875,17525,0.672,0.06,0.185,0,0.063,0.005,-118.3046185,34.034856,0.77828896752,3
"2","Arleta",6037119001,834,15,7634,0.665,0.47,0.852,0.664,12.6,31187,0.824,0.071,0.011,0,0.086,0.001,-118.4180405,34.232289,2.687821659758,2
"3","Atwater Village",6037187101,346,11,7703,0.413,0.312,0.617,0.474,8.4,10847,0.447,0.299,0.016,0.002,0.225,0.003,-118.259303,34.1156225,1.453006845744,2
"4","Beverly Crest",6037261102,300,9,7097,0.065,0.215,0.084,0.028,7,12289,0.049,0.831,0.018,0,0.092,0.003,-118.422746,34.1110565,9.252869178762,2
"5","Beverly Hills",6037261101,382,8,8167,0.055,0.16,0.177,0.009,6.392,3488,0.05,0.864,0.022,0.004,0.051,0.01,-118.395214,34.110602,2.520092773326,1
"6","Beverlywood",6037269500,269,0,8207,0.094,0.395,0.121,0.016,6.2,4043,0.039,0.863,0.015,0.001,0.072,0.01,-118.3933555,34.0419315,0.534445091114,1
"7","Boyle Heights",6037203100,1027,20,6044,0.841,0.813,0.958,0.732,11.002,91193,0.941,0.018,0.009,0,0.028,0,-118.197818,34.059408,6.659747142646,3
"8","Brentwood",6037262301,249,4,8175,0.139,0.331,0.114,0.205,4.5,32540,0.055,0.809,0.017,0,0.109,0.001,-118.494583,34.10129,13.579449039852,1
"9","Calabasas",6037800204,320,34,5046,0.152,0.646,0.253,0.07,8.933,2226,0.069,0.823,0.015,0.007,0.085,0.002,-118.663627,34.146393,3.072508595928,3
"10","Canoga Park",6037113233,845,53,7223,0.641,0.396,0.733,0.737,7.787,53745,0.543,0.255,0.049,0,0.141,0.001,-118.6017175,34.2275575,4.235159401734,3
"11","Carson",6037543905,465,20,4741,0.867,0.743,0.908,0.711,15.5,31504,0.486,0.286,0.095,0,0.119,0.001,-118.2531835,33.8143925,1.058915237058,3
"12","Carthay",6037216300,622,23,13647,0.223,0.116,0.271,0.383,6.2,7815,0.131,0.623,0.104,0.002,0.125,0.008,-118.363807,34.059083,0.777107109298,3
"13","Century City",6037267901,276,0,8797,0.057,0.561,0.285,0.305,5.157,2428,0.036,0.828,0.01,0.001,0.117,0.007,-118.413721,34.0567325,0.432296401586,1
"14","Chatsworth",6037108202,511,44,8150,0.268,0.379,0.373,0.399,7.193,39550,0.206,0.521,0.044,0,0.211,0.002,-118.581814,34.288396,13.354672038512,3
