day,date_dt,total_cases,new_case,total_deaths,new_deaths,total_persons_tested,new_persons_tested
1,3/10/20,480,90,1,1,431,126
2,3/11/20,610,130,1,0,690,259
3,3/12/20,766,156,1,0,1342,652
4,3/13/20,912,146,1,0,2113,771
5,3/14/20,1052,140,1,0,2586,473
6,3/15/20,1211,159,1,0,3099,513
7,3/16/20,1425,214,1,0,4512,1413
8,3/17/20,1627,202,1,0,6259,1747
9,3/18/20,1802,175,1,0,7899,1640
10,3/19/20,2012,210,5,4,9662,1763
11,3/20/20,2250,238,8,3,11558,1896
12,3/21/20,2436,186,11,3,12403,845
13,3/22/20,2677,241,15,4,13135,732
14,3/23/20,2961,284,22,7,15354,2219
15,3/24/20,3231,270,25,3,17797,2443
16,3/25/20,3654,423,32,7,20435,2638
17,3/26/20,4016,362,36,4,23137,2702
18,3/27/20,4372,356,45,9,26285,3148
19,3/28/20,4746,374,53,8,28890,2605
20,3/29/20,5100,354,68,15,29960,1070
21,3/30/20,5690,590,79,11,33695,3735
22,3/31/20,6307,617,95,16,37588,3893
23,4/1/20,6901,594,114,19,41856,4268
24,4/2/20,7486,585,136,22,46091,4235
25,4/3/20,8247,761,162,26,50876,4785
26,4/4/20,8821,574,183,21,53492,2616
27,4/5/20,9373,552,207,24,55023,1531
28,4/6/20,9864,491,224,17,57775,2752
29,4/7/20,10560,696,250,26,61230,3455
30,4/8/20,11140,580,289,39,65432,4202
31,4/9/20,11725,585,326,37,71096,5664
32,4/10/20,12293,568,356,30,77071,5975
33,4/11/20,12739,446,386,30,80114,3043
34,4/12/20,13119,380,423,37,81266,1152
35,4/13/20,13776,657,465,42,84535,3269
36,4/14/20,14418,642,513,48,89106,4571
37,4/15/20,15267,849,548,35,96155,7049
38,4/16/20,16124,857,608,60,102786,6631
39,4/17/20,16984,860,647,39,109692,6906
40,4/18/20,17589,605,686,39,115095,5403
41,4/19/20,18063,474,723,37,117967,2872
42,4/20/20,18999,936,771,48,123766,5799
43,4/21/20,19860,861,811,40,131445,7679
44,4/22/20,20611,751,857,46,137593,6148
45,4/23/20,21536,925,907,50,143332,5739
46,4/24/20,22478,942,950,43,151474,8142
47,4/25/20,23336,858,988,38,159892,8418
48,4/26/20,23831,495,1029,41,163596,3704
49,4/27/20,24793,962,1066,37,173845,10249
50,4/28/20,25668,875,1118,52,184243,10398
51,4/29/20,26542,874,1159,41,194966,10723
52,4/30/20,27308,766,1203,44,211438,16472
53,5/1/20,28103,795,1239,36,227778,16340
54,5/2/20,28726,623,1287,48,241344,13566
55,5/3/20,29067,341,1328,41,246471,5127
56,5/4/20,29841,774,1370,42,262605,16134
57,5/5/20,31174,1333,1406,36,279504,16899
58,5/6/20,32216,1042,1457,51,299201,19697
59,5/7/20,33220,1004,1505,48,317418,18217
60,5/8/20,34187,967,1553,48,333786,16368
61,5/9/20,34895,708,1597,44,346378,12592
62,5/10/20,35244,349,1628,31,351026,4648
63,5/11/20,36361,1117,1653,25,367667,16641
64,5/12/20,37550,1189,1698,45,385950,18283
65,5/13/20,38496,946,1735,37,405261,19311
66,5/14/20,39816,1320,1766,31,424422,19161
67,5/15/20,41098,1282,1809,43,445246,20824
68,5/16/20,41777,679,1858,49,458705,13459
69,5/17/20,42147,370,1892,34,463209,4504
70,5/18/20,43218,1071,1931,39,480939,17730
71,5/19/20,44266,1048,1968,37,497736,16797
72,5/20/20,45428,1162,1992,24,514935,17199
73,5/21/20,46446,1018,2017,25,530868,15933
74,5/22/20,47472,1026,2057,40,548129,17261
75,5/23/20,48171,699,2090,33,560438,12309
76,5/24/20,48547,376,2118,28,564469,4031
77,5/25/20,49009,462,2141,23,568509,4040
78,5/26/20,50459,1450,2172,31,585988,17479
79,5/27/20,51580,1121,2207,35,601822,15834
80,5/28/20,52790,1210,2230,23,616093,14271
81,5/29/20,53866,1076,2255,25,630302,14209
82,5/30/20,54497,631,2275,20,639864,9562
83,5/31/20,54768,271,2293,18,642779,2915
84,6/1/20,55075,307,2308,15,645908,3129
85,6/2/20,55206,131,2314,6,646080,172
