country_region,sub_region_1,sub_region_2,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
United States,California,Los Angeles County,2/15/20,1,0,13,-1,-1,0
United States,California,Los Angeles County,2/16/20,4,-1,27,-1,0,-1
United States,California,Los Angeles County,2/17/20,7,0,30,-11,-32,7
United States,California,Los Angeles County,2/18/20,-1,0,11,2,2,0
United States,California,Los Angeles County,2/19/20,-1,-1,13,1,2,0
United States,California,Los Angeles County,2/20/20,1,0,11,2,2,-1
United States,California,Los Angeles County,2/21/20,1,0,7,0,2,0
United States,California,Los Angeles County,2/22/20,-1,-1,-13,-5,1,1
United States,California,Los Angeles County,2/23/20,4,1,13,0,2,0
United States,California,Los Angeles County,2/24/20,1,-1,8,2,4,-1
United States,California,Los Angeles County,2/25/20,2,1,13,3,3,-1
United States,California,Los Angeles County,2/26/20,3,2,11,2,3,-1
United States,California,Los Angeles County,2/27/20,3,2,14,3,2,-1
United States,California,Los Angeles County,2/28/20,4,4,10,2,3,-1
United States,California,Los Angeles County,2/29/20,3,4,11,0,2,-1
United States,California,Los Angeles County,3/1/20,4,3,-5,-3,1,0
United States,California,Los Angeles County,3/2/20,5,5,8,1,4,-1
United States,California,Los Angeles County,3/3/20,8,7,32,2,3,-1
United States,California,Los Angeles County,3/4/20,4,6,9,-1,2,0
United States,California,Los Angeles County,3/5/20,4,7,9,0,2,0
United States,California,Los Angeles County,3/6/20,3,6,7,-2,2,0
United States,California,Los Angeles County,3/7/20,1,6,3,-4,2,0
United States,California,Los Angeles County,3/8/20,3,4,16,-4,1,0
United States,California,Los Angeles County,3/9/20,3,7,6,-4,3,0
United States,California,Los Angeles County,3/10/20,-3,3,-29,-13,-2,3
United States,California,Los Angeles County,3/11/20,2,11,5,-6,0,1
United States,California,Los Angeles County,3/12/20,-8,12,-35,-19,-3,4
United States,California,Los Angeles County,3/13/20,-5,37,-37,-21,-7,6
United States,California,Los Angeles County,3/14/20,-14,27,-47,-23,-7,7
United States,California,Los Angeles County,3/15/20,-16,12,-22,-21,-9,6
United States,California,Los Angeles County,3/16/20,-19,12,-40,-29,-22,11
United States,California,Los Angeles County,3/17/20,-24,8,-21,-30,-29,14
United States,California,Los Angeles County,3/18/20,-28,3,-12,-33,-33,16
United States,California,Los Angeles County,3/19/20,-32,3,-30,-39,-35,18
United States,California,Los Angeles County,3/20/20,-40,-5,-29,-44,-41,22
United States,California,Los Angeles County,3/21/20,-48,-13,-28,-46,-34,18
United States,California,Los Angeles County,3/22/20,-52,-26,-36,-54,-38,16
United States,California,Los Angeles County,3/23/20,-42,-19,-32,-49,-47,22
United States,California,Los Angeles County,3/24/20,-43,-20,-34,-50,-49,23
United States,California,Los Angeles County,3/25/20,-43,-20,-34,-50,-49,23
United States,California,Los Angeles County,3/26/20,-43,-20,-35,-51,-50,24
United States,California,Los Angeles County,3/27/20,-45,-19,-34,-51,-49,25
United States,California,Los Angeles County,3/28/20,-50,-21,-52,-52,-39,20
