"Buy","Income","Is.Female","Is.Married","Has.College","Is.Professional","Is.Retired","Unemployed","Residence.Length","Dual.Income","Minors","Own","House","White","English","Prev.Child.Mag","Prev.Parent.Mag"
"1","0",0.32,"1","0","1","1","0","0",0.361111111111111,"0","0","0","1","0","0","0","0"
"3","0",0.613333333333333,"1","1","0","0","0","0",0.5,"1","1","1","1","1","1","0","0"
"5","0",0.573333333333333,"1","0","0","0","0","0",0.375,"0","0","0","0","1","1","0","1"
"6","0",0.32,"1","1","0","0","0","0",0.569444444444444,"0","0","1","1","0","0","0","0"
"8","0",0.506666666666667,"1","1","0","0","1","0",0.111111111111111,"0","0","1","1","1","1","0","0"
"9","0",0.52,"1","0","1","1","0","0",0.236111111111111,"0","0","0","0","1","1","0","0"
"10","0",0.653333333333333,"0","1","0","0","1","0",0.430555555555556,"0","0","1","1","1","1","0","0"
"11","1",1,"1","0","1","0","0","0",0.180555555555556,"1","0","0","0","1","1","0","1"
"12","0",0.413333333333333,"1","0","1","0","1","0",0.708333333333333,"0","0","0","0","1","1","0","0"
"13","0",0.133333333333333,"0","0","0","0","0","0",0.0833333333333333,"0","0","0","0","1","1","0","0"
"14","0",0.293333333333333,"0","0","0","0","0","0",0.0277777777777778,"0","0","0","0","1","1","0","0"
"15","0",0.52,"0","1","0","0","0","0",0.333333333333333,"0","0","1","1","0","0","0","0"
"16","0",0.0266666666666667,"0","1","0","0","0","1",0.722222222222222,"1","1","0","1","0","1","0","0"
"17","1",1,"0","0","0","0","0","0",0.125,"0","0","0","1","1","1","1","0"
"18","1",0.92,"1","1","0","0","0","0",0,"0","1","1","1","1","1","0","0"
"19","1",0.8,"1","1","0","1","0","0",0.0833333333333333,"1","0","0","0","1","1","1","1"
"21","0",0.56,"1","1","0","0","0","0",0.638888888888889,"1","0","1","1","1","1","0","1"
"23","0",1,"0","0","0","0","0","0",0.166666666666667,"0","1","0","1","1","1","0","0"
"24","1",0.6,"1","1","1","0","0","0",0.277777777777778,"1","1","1","1","1","1","0","1"
"25","0",0.28,"1","0","1","0","0","0",0.0277777777777778,"0","0","0","0","1","1","0","0"
"27","0",0.306666666666667,"0","0","1","1","0","0",0.0277777777777778,"0","0","0","0","0","1","0","0"
"28","0",0.506666666666667,"0","0","0","0","1","0",0.458333333333333,"0","0","1","1","1","1","0","0"
"29","0",0.16,"1","0","0","0","0","0",0.0694444444444444,"0","0","0","0","1","1","0","0"
"30","0",0.613333333333333,"1","1","0","0","0","0",0.222222222222222,"0","0","1","1","1","1","1","0"
"31","0",0.666666666666667,"1","1","0","1","0","0",0.0972222222222222,"1","1","1","1","0","1","0","1"
"32","0",0.613333333333333,"0","0","0","0","0","0",0.236111111111111,"0","1","0","1","1","1","0","0"
"33","1",1,"0","1","0","1","0","0",0.5,"1","0","1","1","1","1","0","1"
"34","0",0.0533333333333333,"1","0","0","0","0","0",0.0138888888888889,"0","1","0","1","1","1","0","0"
"36","0",0.346666666666667,"0","0","0","0","0","0",0.458333333333333,"0","0","0","0","1","1","0","0"
"37","1",1,"0","0","0","1","0","0",0.166666666666667,"1","0","1","1","1","1","0","0"
"40","0",0.653333333333333,"0","1","0","0","0","0",0.138888888888889,"1","1","1","1","1","1","0","0"
"41","0",0.28,"1","1","0","0","0","0",0.277777777777778,"1","1","0","0","0","1","0","0"
"42","0",0.266666666666667,"0","0","0","0","0","0",0.0138888888888889,"0","0","1","1","0","1","0","0"
"43","0",0.2,"0","1","0","0","0","0",0.0416666666666667,"1","0","0","0","1","1","0","0"
"44","0",0.333333333333333,"0","0","0","1","0","0",0.319444444444444,"0","0","0","0","0","1","0","0"
"45","0",0.533333333333333,"0","1","1","0","1","0",0.180555555555556,"0","0","1","1","1","1","0","0"
"46","1",1,"1","1","1","1","0","0",0.166666666666667,"1","0","1","1","1","1","0","0"
"47","0",0.44,"1","1","0","0","0","0",0.277777777777778,"1","0","1","1","0","1","0","0"
"48","0",0.133333333333333,"0","0","1","0","0","1",0,"0","0","0","0","1","1","0","0"
"49","0",0.266666666666667,"1","0","0","0","0","0",0.402777777777778,"0","0","0","0","0","1","0","0"
"52","0",0.146666666666667,"1","0","1","0","0","0",0,"0","0","0","0","0","1","1","0"
"53","0",0.24,"0","0","0","0","0","0",0.333333333333333,"0","0","0","0","1","1","0","0"
"54","0",0.0933333333333333,"1","0","0","0","0","0",0.138888888888889,"0","1","0","1","1","1","0","0"
"55","1",1,"1","1","0","1","0","0",0.25,"0","1","1","1","1","1","0","0"
"56","0",0.0266666666666667,"1","0","0","0","0","0",0.0277777777777778,"0","0","0","0","1","1","0","0"
"57","0",0.0933333333333333,"1","0","0","0","0","0",0.180555555555556,"0","1","0","1","1","1","0","0"
"58","0",0,"1","0","0","0","0","0",0.444444444444444,"0","1","0","1","0","1","0","0"
"59","1",0.626666666666667,"1","1","1","1","0","0",0.0972222222222222,"1","1","1","1","1","1","0","0"
"60","0",0.266666666666667,"1","0","0","1","0","0",0.0416666666666667,"0","0","0","0","1","1","0","0"
"62","1",0.813333333333333,"1","1","1","1","0","0",0.708333333333333,"1","0","1","1","0","1","0","0"
"63","0",0.4,"0","0","0","0","0","0",0.194444444444444,"0","1","0","1","0","1","0","0"
"64","0",0.08,"1","0","0","0","0","0",0.25,"0","1","1","1","1","1","0","0"
"65","0",0.293333333333333,"0","0","0","1","0","0",0.333333333333333,"0","0","0","1","0","1","0","0"
"66","0",0.52,"0","0","0","0","0","0",0,"0","0","0","1","1","1","0","0"
"67","0",0.346666666666667,"1","0","0","0","0","0",0.333333333333333,"0","0","0","0","1","1","0","1"
"68","0",0.293333333333333,"1","0","1","1","0","0",0,"0","0","0","1","0","1","0","0"
"69","0",0.613333333333333,"0","0","0","0","0","0",0.0138888888888889,"0","1","0","0","0","1","0","1"
"70","0",0.52,"1","1","1","0","0","0",0.625,"1","1","1","1","0","1","0","0"
"71","0",0.653333333333333,"0","0","0","0","0","0",0.25,"0","0","0","1","1","1","1","0"
"72","0",0.0666666666666667,"1","1","0","0","0","0",0.25,"0","1","0","1","0","1","0","0"
"73","0",0.12,"0","0","1","0","0","0",0.180555555555556,"0","0","0","0","0","1","0","0"
"74","0",1,"0","0","0","0","0","0",0.0555555555555556,"0","1","0","1","0","0","0","0"
"77","0",0.4,"1","1","0","0","0","0",0.0138888888888889,"0","1","1","1","0","1","0","0"
"78","0",0.173333333333333,"0","0","0","0","0","0",0.277777777777778,"0","0","0","0","1","1","0","0"
"79","0",0.04,"1","0","0","0","0","1",0.125,"0","1","0","1","0","0","0","0"
"80","0",0.373333333333333,"0","0","0","0","0","0",0.361111111111111,"0","0","0","1","0","1","0","0"
"81","0",0.586666666666667,"0","0","0","1","0","0",0.0277777777777778,"0","0","0","0","1","1","0","0"
"83","0",0.04,"0","0","1","0","0","0",0.0416666666666667,"0","0","0","0","0","0","0","0"
"84","0",0.0933333333333333,"0","0","0","0","0","0",0.222222222222222,"0","1","0","1","0","1","0","0"
"85","0",0.426666666666667,"0","1","0","1","0","0",0.194444444444444,"1","0","1","1","1","1","0","0"
"86","0",0.28,"0","0","0","0","0","0",0.458333333333333,"0","0","0","0","1","1","0","0"
"87","1",1,"1","1","0","0","0","0",0.833333333333333,"0","0","1","0","1","1","0","0"
"88","0",0.253333333333333,"0","0","0","0","0","0",0.0277777777777778,"0","0","0","0","1","1","0","0"
"90","0",0.2,"0","0","1","1","0","0",0.361111111111111,"0","0","0","0","0","1","0","0"
"91","0",0.08,"0","0","0","0","0","0",0.263888888888889,"0","0","1","1","1","1","0","0"
"93","1",1,"1","1","1","1","0","0",0.347222222222222,"1","0","1","1","1","1","0","0"
"94","0",0.333333333333333,"1","0","0","0","0","0",0.388888888888889,"0","1","0","0","1","1","0","0"
"95","0",0.106666666666667,"1","0","0","0","0","0",0.166666666666667,"0","1","0","1","1","1","0","0"
"96","1",1,"0","1","1","1","0","0",0.347222222222222,"1","0","1","1","1","1","0","0"
"97","0",0.586666666666667,"1","1","0","0","0","0",0.5,"1","1","1","0","0","1","0","0"
"98","0",0.36,"0","1","1","1","0","0",0.25,"1","0","0","1","1","1","1","0"
"99","0",0.0933333333333333,"0","0","0","0","0","0",0.222222222222222,"0","1","0","1","1","1","0","1"
"100","0",0.813333333333333,"0","1","0","1","0","0",0.0694444444444444,"1","1","0","0","1","1","1","0"
"102","1",0.933333333333333,"0","1","0","1","0","0",0.111111111111111,"0","1","0","1","1","1","0","0"
"103","0",0.0133333333333333,"1","0","0","0","0","0",0.208333333333333,"0","1","0","1","1","1","0","0"
"104","0",0.293333333333333,"1","0","1","1","0","0",0.0555555555555556,"0","0","0","0","1","1","0","0"
"105","0",0.306666666666667,"1","0","0","1","0","0",0.458333333333333,"0","0","0","0","1","1","0","0"
"106","1",0.813333333333333,"1","1","0","0","0","0",0.388888888888889,"1","0","1","1","1","1","1","0"
"107","0",1,"0","0","1","1","0","0",0.388888888888889,"0","0","0","1","0","0","0","0"
"109","0",0.653333333333333,"0","0","1","0","0","0",0.25,"0","0","1","1","0","1","0","0"
"110","0",0.306666666666667,"0","0","1","1","0","0",0.0833333333333333,"0","0","0","0","1","1","0","0"
"111","1",0.786666666666667,"1","1","1","1","0","0",0.569444444444444,"1","1","1","1","1","1","0","1"
"112","0",0.4,"1","0","0","0","0","0",0,"0","0","0","0","0","1","0","0"
